,created_date,job_title,company,salary,address,time,link_description,min_salary,max_salary,salary_unit,position,level,city,district
1168,2023-08-01,System Admin,SVTECH,20 - 40 triệu,Hà Nội: Cầu Giấy,Còn 29 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/system-admin/955292.html?ta_source=JobSearchList_LinkDetail,20,40,million VND,OTHER,UNKNOWN,Hà Nội, Cầu Giấy
1169,2023-08-01,"Lập Trình Web (Html,Css,JS,.Net)",Công Ty Cổ Phần VCCorp,10 - 15 triệu,Hà Nội: Thanh Xuân,Còn 15 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/lap-trinh-web-html-css-js-net/1069502.html?ta_source=JobSearchList_LinkDetail,10,15,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Thanh Xuân
1170,2023-08-01,Nhân Viên IT,Công ty cổ phần Viva International,10 - 12 triệu,Hồ Chí Minh: Quận 10,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-it/1069424.html?ta_source=JobSearchList_LinkDetail,10,12,million VND,OTHER,UNKNOWN,Hồ Chí Minh, Quận 10
1171,2023-08-01,Lập Trình Viên PHP (Lương Cứng Từ 10 - 18 Triệu),CÔNG TY CP CÔNG NGHỆ DNG,10 - 18 triệu,Hồ Chí Minh,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/lap-trinh-vien-php-luong-cung-tu-10-18-trieu/627127.html?ta_source=JobSearchList_LinkDetail,10,18,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hồ Chí Minh,
1172,2023-08-01,Data Scientist,Công ty Cổ phần viễn thông FPT,20 - 35 triệu,Hà Nội: Ba Đình,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/data-scientist/1069638.html?ta_source=JobSearchList_LinkDetail,20,35,million VND,OTHER,UNKNOWN,Hà Nội, Ba Đình
1173,2023-08-01,Junior/ Middle PHP Developer,CÔNG TY TNHH MTV AUSTRAX TECHNOLOGIES VIETNAM,Thoả thuận,Hồ Chí Minh: Phú Nhuận,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/junior-middle-php-developer/1068772.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,SOFTWARE_ENGINEER,MIDDLE,Hồ Chí Minh, Phú Nhuận
1174,2023-08-01,Lập Trình Viên React Native (Mobile Developer),TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"700 - 2,000 USD",Hà Nội: Cầu Giấy,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/lap-trinh-vien-react-native-mobile-developer/835133.html?ta_source=JobSearchList_LinkDetail,700,"2,000",USD,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Cầu Giấy
1175,2023-08-01,Kỹ Sư Phát Triển Phần Mềm Nhúng (Là m Việc Tại Tổng Công Ty Công Nghiệp Công Nghệ Cao Viettel),Tổng Công ty Công nghiệp Công nghệ cao Viettel,"700 - 1,200 USD",Hà Nội: Thạch Thất,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem-nhung-lam-viec-tai-tong-cong-ty-cong-nghiep-cong-nghe-cao-viettel/594952.html?ta_source=JobSearchList_LinkDetail,700,"1,200",USD,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Thạch Thất
1176,2023-08-01,Kỹ Sư Thiết Kế Phần Cứng (Là m Việc Tại Tổng Công Ty Công Nghiệp Công Nghệ Cao Viettel),Tổng Công ty Công nghiệp Công nghệ cao Viettel,"700 - 1,200 USD",Hà Nội,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-thiet-ke-phan-cung-lam-viec-tai-tong-cong-ty-cong-nghiep-cong-nghe-cao-viettel/594956.html?ta_source=JobSearchList_LinkDetail,700,"1,200",USD,OTHER,UNKNOWN,Hà Nội,
1177,2023-08-01,Nhân Viên IT,CÔNG TY TNHH TOYOPLAS MANUFACTURING(BẮC GIANG),Thoả thuận,Bắc Giang: TP Bắc Giang,Còn 13 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-it/1069477.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,OTHER,UNKNOWN,Bắc Giang, TP Bắc Giang
1178,2023-08-01,Nhân Viên Game Designer (Thiết Kế Kịch Bản Game Mobile),Công ty Cổ phần Negaxy,8 - 12 triệu,Hà Nội: Cầu Giấy,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-game-designer-thiet-ke-kich-ban-game-mobile/1032583.html?ta_source=JobSearchList_LinkDetail,8,12,million VND,MOBILE_DEVELOPER,UNKNOWN,Hà Nội, Cầu Giấy
1179,2023-08-01,Chuyên Viên Phân Tích Nghiệp Vụ (Ba),Công ty CPDV Trực tuyến Cộng Đồng Việt (VietUnion),Trên 15 triệu,Hồ Chí Minh: Quận 1,Còn 12 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba/1038090.html?ta_source=JobSearchList_LinkDetail,15,15,million VND,BUSINESS_ANALYST,UNKNOWN,Hồ Chí Minh, Quận 1
1180,2023-08-01,Kỹ Sư Phát Triển Phần Mềm Full Stack,Tổng Công ty Công nghiệp Công nghệ cao Viettel,25 - 35 triệu,Hà Nội: Thạch Thất,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem-full-stack/947720.html?ta_source=JobSearchList_LinkDetail,25,35,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Thạch Thất
